model_label,model_scale_b,strategy,strategy_label,request_count,request_count_ci95,request_count_seed_n,mean_ttft_ms,mean_ttft_ms_ci95,mean_ttft_ms_seed_n,mean_e2e_ms,mean_e2e_ms_ci95,mean_e2e_ms_seed_n,p95_e2e_ms,p95_e2e_ms_ci95,p95_e2e_ms_seed_n,p99_e2e_ms,p99_e2e_ms_ci95,p99_e2e_ms_seed_n,mean_tpot_ms,mean_tpot_ms_ci95,mean_tpot_ms_seed_n,mean_throughput_tps,mean_throughput_tps_ci95,mean_throughput_tps_seed_n,cache_hit_ratio,cache_hit_ratio_ci95,cache_hit_ratio_seed_n,prefix_hit_ratio,prefix_hit_ratio_ci95,prefix_hit_ratio_seed_n,mean_bandwidth_bytes,mean_bandwidth_bytes_ci95,mean_bandwidth_bytes_seed_n,mean_vram_peak_gb,mean_vram_peak_gb_ci95,mean_vram_peak_gb_seed_n,privacy_exposure_rate,privacy_exposure_rate_ci95,privacy_exposure_rate_seed_n,mean_quality,mean_quality_ci95,mean_quality_seed_n
Qwen2.5-0.5B,0.5,ours,Ours,400.0,0.0,5,404.34832160256116,50.664068926782164,5,1064.9672318385092,75.38704987731607,5,3222.0041332380497,156.5016838940572,5,4495.660587899631,512.6582056703454,5,4.895651280552869,0.1615975910121254,5,1181.2559779118,64.703638806027,5,0.414,0.0225559466629904,5,0.4845,0.024968717633642026,5,593.222,91.75509239872807,5,0.7671251509094239,0.06880427519979647,5,0.0,0.0,5,0.7487921710000001,0.01976964563821069,5
Qwen2.5-0.5B,0.5,static_threshold,Static-threshold,400.0,0.0,5,971.5541974662026,150.16869216102032,5,2044.9751972911502,153.42511834997612,5,4555.453526610274,201.8714060933712,5,5129.988615476316,398.0392919543062,5,8.184135593220338,0.008740201580300271,5,122.28400000000002,0.12891797330943536,5,0.0,0.0,5,0.0,0.0,5,1165.7189999999998,69.51956492065621,5,0.8747422732543944,0.027164864539512914,5,0.0,0.0,5,0.8016284,0.007141216717712125,5
Qwen2.5-3B,3.0,cloud_only,Cloud-only,400.0,0.0,5,919.4019124904504,108.67549219141905,5,2064.8652994365975,112.56526458102991,5,4603.911423731879,146.46463289324564,5,4947.923404245057,222.24164161295116,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
Qwen2.5-3B,3.0,edge_only,Edge-only,400.0,0.0,5,16016.675697678109,4111.183526841017,5,18511.22813978898,4095.159423995819,5,29621.80406202079,8483.517763283575,5,33195.59489949191,8474.35145014928,5,19.23076923076923,2.2056383354463166e-15,5,52.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,2.848131286621093,0.004107118403701772,5,0.0,0.0,5,0.7565099500000001,0.0033116273756441193,5
Qwen2.5-3B,3.0,ours,Ours,400.0,0.0,5,449.7664681570094,50.9635195533341,5,1286.322217208679,77.66696814307348,5,3577.944675444236,207.19554320707988,5,4557.134538029915,257.3445403800634,5,6.281229877199259,0.396165582909275,5,1168.6803591682724,62.62157916663765,5,0.414,0.0225559466629904,5,0.4885,0.024104756780489924,5,1599.3259999999998,234.65105703090893,5,0.2970904472351074,0.09445723201446103,5,0.0,0.0,5,0.918927232,0.007757882831197506,5
Qwen2.5-3B,3.0,static_threshold,Static-threshold,400.0,0.0,5,8763.003108036693,2146.953922659966,5,10755.503782991118,2152.3851925090125,5,28218.852306740813,7945.127599356953,5,31560.88088733929,8513.62667823167,5,15.057366362451106,0.19809522812495323,5,77.608,1.2155123197747064,5,0.0,0.0,5,0.0,0.0,5,1165.7189999999998,69.51956492065621,5,1.7473053042602538,0.05455563369526185,5,0.0,0.0,5,0.8232129499999999,0.00595054276291371,5
TinyLlama-1.1B,1.1,cloud_only,Cloud-only,400.0,0.0,5,917.8840712064518,109.1755644103735,5,2061.4521117771537,114.43678402190888,5,4597.949039716375,147.01720580308435,5,4956.026337209782,154.1742550858616,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
TinyLlama-1.1B,1.1,edge_only,Edge-only,400.0,0.0,5,1308.5116609242057,266.9934499303476,5,2495.92460652592,268.86665962570555,5,5307.64444137019,434.2026465910709,5,6051.133100733014,633.5318081554033,5,9.090909090909092,0.0,5,110.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,1.5649801483154298,0.0016135108014542745,5,0.0,0.0,5,0.6672068499999999,0.004840070779787669,5
TinyLlama-1.1B,1.1,ours,Ours,400.0,0.0,5,421.2982616709552,50.58886621020236,5,1150.9837840750963,78.64580116874436,5,3416.1690525638382,193.0355016279091,5,4742.150130230293,437.3288365751811,5,5.406227219936072,0.19612517513028024,5,1172.3569660179571,63.79384981634137,5,0.414,0.0225559466629904,5,0.4835,0.026846946455295975,5,975.5815,149.44148668687208,5,0.6444768880844116,0.05217026049386058,5,0.0,0.0,5,0.7510077359999999,0.012828066496581688,5
TinyLlama-1.1B,1.1,static_threshold,Static-threshold,400.0,0.0,5,1095.993166705614,193.3864306568608,5,2257.6971776735345,198.2521915382993,5,5086.9282756279,301.93386138125345,5,5792.438755412879,450.43016076165435,5,8.851771956856703,0.011350911143247409,5,113.104,0.14733482663935807,5,0.0,0.0,5,0.0,0.0,5,1165.7189999999998,69.51956492065621,5,0.9594370838165283,0.029639183893044273,5,0.0,0.0,5,0.7678038500000001,0.008690767887726752,5
