network,network_label,baseline,baseline_label,metric,ours_mean,baseline_mean,improvement_pct,t_statistic,p_value,effect_size_d,significance
mobile_4g5g,4G/5G,cloud_only,Cloud-only,privacy_exposure_rate,0.0,1.0,100.0,inf,0.0,0.0,***
mobile_4g5g,4G/5G,cloud_only,Cloud-only,mean_quality,0.9283036360000001,0.9316968999999998,0.36420256416007024,2.2860636313232163,0.08422158672132941,1.022358736105746,ns
mobile_4g5g,4G/5G,edge_only,Edge-only,mean_e2e_ms,1174.253850188866,6445.487607758761,81.78176855424628,6.026277853692839,0.0038208230711341737,2.695033386431744,**
mobile_4g5g,4G/5G,edge_only,Edge-only,p95_e2e_ms,3189.2334289775285,10656.03903938206,70.07111725857122,6.7727337777858185,0.002480113897271038,3.028858624127609,**
mobile_4g5g,4G/5G,edge_only,Edge-only,privacy_exposure_rate,0.0,0.0,0.0,0.0,1.0,0.0,ns
mobile_4g5g,4G/5G,edge_only,Edge-only,mean_quality,0.9283036360000001,0.82627765,-12.34766376653175,-83.94942326274384,1.2068955026019212e-07,-37.54332341747948,***
mobile_4g5g,4G/5G,static_threshold,Static-threshold,mean_e2e_ms,1174.253850188866,2414.1317748442752,51.35916512823285,24.480375389976107,1.6522019145315638e-05,10.947956697339901,***
mobile_4g5g,4G/5G,static_threshold,Static-threshold,p95_e2e_ms,3189.2334289775285,7163.10611462722,55.47694843630694,49.445990991018064,1.0010219953302034e-06,22.112919414151715,***
mobile_4g5g,4G/5G,static_threshold,Static-threshold,privacy_exposure_rate,0.0,0.0,0.0,0.0,1.0,0.0,ns
mobile_4g5g,4G/5G,static_threshold,Static-threshold,mean_quality,0.9283036360000001,0.905409748,-2.5285665468669287,-23.995784068405637,1.7889566171718758e-05,-10.731240870072293,***
weak,Weak,cloud_only,Cloud-only,mean_e2e_ms,1479.0672975900275,2196.7010109155226,32.66870228399475,24.405594784824203,1.6724316040274e-05,10.914513794036255,***
weak,Weak,cloud_only,Cloud-only,p95_e2e_ms,3503.8295749369513,4712.125429179058,25.642268492259017,20.63420269412975,3.2585978656654184e-05,9.227895977116685,***
weak,Weak,cloud_only,Cloud-only,privacy_exposure_rate,0.0,1.0,100.0,inf,0.0,0.0,***
weak,Weak,cloud_only,Cloud-only,mean_quality,0.8603494859999999,0.9316968999999998,7.657792357149619,23.58288783647908,1.916793053502961e-05,10.546588061624036,***
weak,Weak,edge_only,Edge-only,mean_e2e_ms,1479.0672975900275,6470.870523476324,77.14268440043779,5.7866069348123235,0.004431831750519447,2.58784929306241,**
weak,Weak,edge_only,Edge-only,p95_e2e_ms,3503.8295749369513,10843.852358063723,67.68833197612261,6.494506265193485,0.0028990882147220554,2.904431497854181,**
weak,Weak,edge_only,Edge-only,privacy_exposure_rate,0.0,0.0,0.0,0.0,1.0,0.0,ns
weak,Weak,edge_only,Edge-only,mean_quality,0.8603494859999999,0.82627765,-4.123533536215098,-11.424111026749644,0.00033496279747362583,-5.109017767663425,***
weak,Weak,static_threshold,Static-threshold,mean_e2e_ms,1479.0672975900275,6469.719795748846,77.13861891573882,5.780442271203205,0.004449070906416063,2.585092371684728,**
weak,Weak,static_threshold,Static-threshold,p95_e2e_ms,3503.8295749369513,10657.130216170186,67.12220359641894,6.223092574953071,0.0033949400272398804,2.7830516055738546,**
weak,Weak,static_threshold,Static-threshold,privacy_exposure_rate,0.0,0.0,0.0,0.0,1.0,0.0,ns
weak,Weak,static_threshold,Static-threshold,mean_quality,0.8603494859999999,0.82627765,-4.123533536215098,-11.424111026749644,0.00033496279747362583,-5.109017767663425,***
wifi_good,WiFi Good,cloud_only,Cloud-only,mean_e2e_ms,1147.677931191101,1962.6678727330986,41.524597863167216,40.053453497405954,2.3216074990280035e-06,17.912448950765285,***
wifi_good,WiFi Good,cloud_only,Cloud-only,p95_e2e_ms,3153.4147646827064,4420.911415313909,28.670482883702007,24.526936754590082,1.6397603398232156e-05,10.968779572620301,***
wifi_good,WiFi Good,cloud_only,Cloud-only,privacy_exposure_rate,0.0,1.0,100.0,inf,0.0,0.0,***
wifi_good,WiFi Good,cloud_only,Cloud-only,mean_quality,0.9283036360000001,0.9316968999999998,0.36420256416007024,2.2860636313232163,0.08422158672132941,1.022358736105746,ns
wifi_good,WiFi Good,edge_only,Edge-only,mean_e2e_ms,1147.677931191101,6439.797546096893,82.17835385389252,6.05235212499452,0.0037607735893524785,2.70669415505061,**
wifi_good,WiFi Good,edge_only,Edge-only,p95_e2e_ms,3153.4147646827064,10742.221686078343,70.64466870229037,6.6766528673346235,0.0026158056327071078,2.9858899347058214,**
wifi_good,WiFi Good,edge_only,Edge-only,privacy_exposure_rate,0.0,0.0,0.0,0.0,1.0,0.0,ns
wifi_good,WiFi Good,edge_only,Edge-only,mean_quality,0.9283036360000001,0.82627765,-12.34766376653175,-83.94942326274384,1.2068955026019212e-07,-37.54332341747948,***
wifi_good,WiFi Good,static_threshold,Static-threshold,mean_e2e_ms,1147.677931191101,2370.49620537974,51.58490747268464,25.246120232336217,1.4616509659359375e-05,11.290408201527313,***
wifi_good,WiFi Good,static_threshold,Static-threshold,p95_e2e_ms,3153.4147646827064,7198.8490855081645,56.195570608213295,46.51744598186063,1.2774707651780006e-06,20.80323427102297,***
wifi_good,WiFi Good,static_threshold,Static-threshold,privacy_exposure_rate,0.0,0.0,0.0,0.0,1.0,0.0,ns
wifi_good,WiFi Good,static_threshold,Static-threshold,mean_quality,0.9283036360000001,0.905409748,-2.5285665468669287,-23.995784068405637,1.7889566171718758e-05,-10.731240870072293,***
